Predictor,Coefficient,p-value,Odds Ratio,OR 95% CI Lower,OR 95% CI Upper
Intercept,2.2123928408068303,2.2924193157283604e-05,9.137554968906743,3.2815978167186133,25.443371026277017
C(gender_group)[T.Male],-0.4127653288042968,0.034688787265928264,0.6618175741273961,0.45121020262245226,0.9707282744897675
C(education_group)[T.College degree],-0.7164765373715328,0.02395090558357662,0.4884703343582185,0.2622629407422392,0.9097864413201142
C(education_group)[T.Some college or less],-0.7001066496135293,0.036698713454750155,0.4965323459846908,0.2574481996283659,0.9576465128323087
C(ideo_group)[T.Liberal],1.0571972945652346,7.475704284078382e-05,2.878292667475823,1.7057908853743007,4.856731707666039
C(ideo_group)[T.Moderate],0.4904166008889058,0.08492022212577553,1.6329963860126426,0.934724276319432,2.852902470053151
C(party_group)[T.Other or independent],0.03156414663510861,0.9007934265296207,1.0320675771345982,0.6283198371073552,1.6952568116840867
C(party_group)[T.Republican],0.5844530607339922,0.0648558866486299,1.7940095030178829,0.9646427129893248,3.336437474290119
age,-0.004609489386224261,0.5478796584232636,0.9954011180054981,0.9805483587452282,1.0104788579673072
