Linear Isolation Coef,Linear Isolation p,Linear Mask Coef,Linear Mask p
8.46679745746959,9.718053728193467e-50,9.308996735636489,2.4304294893325807e-52
-0.3661640705737141,0.027197499799452473,-0.40459437597736625,0.0222740840649747
-1.531787033421152,0.15456188383885044,0.04749265043337819,0.9670074919735503
-0.19778485496524356,0.3917452706891193,-0.35052705855802285,0.1552417519451305
-0.2327815679183282,0.37631839228319347,-0.5313173568066987,0.058744729326023884
-0.3814260879345483,0.07626399386113723,-0.700431669982007,0.0023289244156193675
-0.16365752573653564,0.5132279298985681,-0.06448691856669633,0.8093022732598701
0.008660924808317927,0.9731143162368613,-0.13879503291223022,0.6129641940520116
0.807447666769506,0.0007080397273114354,1.0442545336307238,4.187084802891572e-05
0.46784231076220095,0.09386177585774069,0.4945504475921891,0.09715153043360235
-0.17515942619784655,0.4088279122897208,-0.17045590862840276,0.4515269451962423
0.12761937690208486,0.6426264641726234,0.2438950933355476,0.40623894473938704
-0.04067368003644145,0.8177402697524955,-0.2520550172824817,0.1811982946092559
0.02223059736821642,0.00150712297044313,0.008156650379776911,0.27445238679659417
